Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
2.021E+11,9,11,2021,16:45:00,1,33,33063,2,6,1,3,Rue de Canolle,"448,267,700,000"," -0,6013200000",2.021E+11,201 422,A01,1,1,0,2,8,2,5,NULL,2.021E+11,267 144,201 422,A01,1,1,4,2,1989,9,0,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,3,3,3,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,9,11,2021,16:45:00,1,33,33063,2,6,1,3,Rue de Canolle,"448,267,700,000"," -0,6013200000",2.021E+11,201 422,A01,1,1,0,2,8,2,5,NULL,2.021E+11,267 145,201 423,B01,1,1,1,2,1978,9,1,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,3,3,3,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,21,10,2021,08:15:00,2,33,33069,2,1,1,2,Rue Ferdinand Buisson,"448,627,300,000"," -0,5846200000",2.021E+11,201 420,A01,2,1,0,2,4,1,5,NULL,2.021E+11,267 142,201 420,A01,1,1,4,2,1968,1,2,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,2,-1,0,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,21,10,2021,08:15:00,2,33,33069,2,1,1,2,Rue Ferdinand Buisson,"448,627,300,000"," -0,5846200000",2.021E+11,201 420,A01,2,1,0,2,4,1,5,NULL,2.021E+11,267 143,201 421,B01,1,1,1,-1,NULL,-1,-1,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,2,-1,0,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,29,10,2021,18:00:00,2,73,73241,2,3,7,1,Chemin des Moulins,"456,149,750,000","63,191,020,000",2.021E+11,201 418,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 140,201 418,B01,1,1,3,2,1952,5,0,-1,-1,0,0,-1,2.021E+11,3,NULL,-1,NULL,2,2,-1,1,30,105,1,NULL,-1,1,2,1,30
2.021E+11,29,10,2021,18:00:00,2,73,73241,2,3,7,1,Chemin des Moulins,"456,149,750,000","63,191,020,000",2.021E+11,201 418,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 141,201 419,A01,1,1,1,2,1960,9,1,-1,-1,0,0,-1,2.021E+11,3,NULL,-1,NULL,2,2,-1,1,30,105,1,NULL,-1,1,2,1,30
2.021E+11,20,12,2021,07:01:00,2,74,74229,2,8,1,3,D15,"462,248,290,000","63,017,860,000",2.021E+11,201 394,A01,2,1,0,4,0,26,5,NULL,2.021E+11,267 104,201 393,B01,1,1,1,1,1983,4,8,-1,-1,0,0,-1,2.021E+11,3,15,0,D,2,2,0,1,27,800,1,NULL,-1,1,4,6,50
2.021E+11,20,12,2021,07:01:00,2,74,74229,2,8,1,3,D15,"462,248,290,000","63,017,860,000",2.021E+11,201 394,A01,2,1,0,4,0,26,5,NULL,2.021E+11,267 105,201 394,A01,1,1,3,1,1997,1,2,-1,-1,0,0,-1,2.021E+11,3,15,0,D,2,2,0,1,27,800,1,NULL,-1,1,4,6,50
2.021E+11,30,11,2021,09:45:00,1,61,61001,2,6,2,3,CLAUDE BERNARD (RUE ),"484,365,200,000","0,1049600000",2.021E+11,201 380,B01,1,1,0,2,3,9,5,NULL,2.021E+11,267 085,201 379,A01,1,1,1,2,1974,4,8,8,-1,-1,-1,-1,2.021E+11,4,CLAUDE BERNARD (RUE ),0,NULL,4,1,0,1,0,0,1,NULL,-1,2,5,1,30
2.021E+11,30,11,2021,09:45:00,1,61,61001,2,6,2,3,CLAUDE BERNARD (RUE ),"484,365,200,000","0,1049600000",2.021E+11,201 380,B01,1,1,0,2,3,9,5,NULL,2.021E+11,267 086,201 380,B01,1,1,4,1,1935,5,0,-1,-1,-1,-1,-1,2.021E+11,4,CLAUDE BERNARD (RUE ),0,NULL,4,1,0,1,0,0,1,NULL,-1,2,5,1,30
2.021E+11,18,10,2021,15:37:00,1,88,88213,1,1,1,7,Col du Las,"483,397,780,000","70,583,940,000",2.021E+11,201 376,A01,1,1,0,0,8,1,5,NULL,2.021E+11,267 082,201 376,A01,1,1,3,2,1944,5,2,-1,-1,0,0,-1,2.021E+11,3,32,0,D,2,2,0,2,66,670,1,NULL,-1,1,0,1,80
2.021E+11,14,7,2021,19:30:00,1,61,61159,1,1,1,7,NULL,"486,538,460,000","0,4104350000",2.021E+11,201 350,A01,3,1,16,0,1,1,5,NULL,2.021E+11,267 039,201 350,A01,1,1,3,2,1970,5,2,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,2,-1,-1,2,-1,-1,2,NULL,-1,9,0,1,90
2.021E+11,24,7,2021,16:20:00,1,61,61001,2,6,2,3,NULL,"484,343,330,000","0,0935580000",2.021E+11,201 349,B01,1,1,0,2,7,1,5,NULL,2.021E+11,267 037,201 348,A01,1,1,1,2,1954,5,1,-1,-1,-1,-1,-1,2.021E+11,3,NULL,-1,NULL,2,-1,-1,1,2,600,1,NULL,-1,2,5,1,50
2.021E+11,24,7,2021,16:20:00,1,61,61001,2,6,2,3,NULL,"484,343,330,000","0,0935580000",2.021E+11,201 349,B01,1,1,0,2,7,1,5,NULL,2.021E+11,267 038,201 349,B01,1,1,4,1,2004,5,8,-1,-1,-1,-1,-1,2.021E+11,3,NULL,-1,NULL,2,-1,-1,1,2,600,1,NULL,-1,2,5,1,50
2.021E+11,4,6,2021,11:30:00,1,73,73065,2,3,8,3,Avenue Maréchal Leclerc,"455,703,281,257","59,167,166,719",2.021E+11,201 328,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 011,201 327,A01,1,1,1,1,1967,1,8,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,2,2,2,1,-1,-1,1,NULL,-1,1,-1,5,50
2.021E+11,4,6,2021,11:30:00,1,73,73065,2,3,8,3,Avenue Maréchal Leclerc,"455,703,281,257","59,167,166,719",2.021E+11,201 328,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 012,201 328,B01,1,1,4,1,1960,0,2,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,2,2,2,1,-1,-1,1,NULL,-1,1,-1,5,50
2.021E+11,17,11,2021,17:01:00,2,36,36044,2,2,1,5,NULL,"468,095,700,000","16,701,700,000",2.021E+11,201 321,B01,1,1,0,2,1,19,5,NULL,2.021E+11,267 001,201 319,C01,1,1,1,1,1994,9,1,8,-1,-1,-1,-1,2.021E+11,4,NULL,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,9,0,1,50
2.021E+11,17,11,2021,17:01:00,2,36,36044,2,2,1,5,NULL,"468,095,700,000","16,701,700,000",2.021E+11,201 320,A01,1,1,0,2,1,19,5,NULL,2.021E+11,267 001,201 319,C01,1,1,1,1,1994,9,1,8,-1,-1,-1,-1,2.021E+11,4,NULL,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,9,0,1,50
2.021E+11,17,11,2021,17:01:00,2,36,36044,2,2,1,5,NULL,"468,095,700,000","16,701,700,000",2.021E+11,201 321,B01,1,1,0,2,1,19,5,NULL,2.021E+11,267 002,201 320,A01,1,1,4,1,2008,5,8,0,-1,-1,-1,-1,2.021E+11,4,NULL,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,9,0,1,50
