Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 935,E01,1,1,0,2,1,2,5,NULL,202000000189,154 741 936,B01,1,1,4,1,1969,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 939,A01,1,1,0,2,1,1,5,NULL,202000000189,154 741 937,C01,1,1,4,1,1951,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 938,D01,1,1,0,2,1,1,5,NULL,202000000189,154 741 937,C01,1,1,4,1,1951,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 937,C01,1,1,0,2,1,2,5,NULL,202000000189,154 741 937,C01,1,1,4,1,1951,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 936,B01,1,1,0,2,1,1,5,NULL,202000000189,154 741 937,C01,1,1,4,1,1951,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 935,E01,1,1,0,2,1,2,5,NULL,202000000189,154 741 937,C01,1,1,4,1,1951,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 939,A01,1,1,0,2,1,1,5,NULL,202000000189,154 741 938,D01,1,1,4,1,1948,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 938,D01,1,1,0,2,1,1,5,NULL,202000000189,154 741 938,D01,1,1,4,1,1948,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 937,C01,1,1,0,2,1,2,5,NULL,202000000189,154 741 938,D01,1,1,4,1,1948,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 936,B01,1,1,0,2,1,1,5,NULL,202000000189,154 741 938,D01,1,1,4,1,1948,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
