Accident_Id,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,
2.022E+11,20,10,2022,19:20:00,5,75,75111,2,1,3,6,RUE RICHARD LENOIR,"488,549,840,000","23,821,120,000",2.022E+11,813 684,A01,1,1,0,1,1,1,5,NULL,2.022E+11,1 099 330,813 684,A01,1,1,1,1,1995,1,2,0,-1,0,0,-1,2.022E+11,4,RUE RICHARD LENOIR,0,NULL,2,2,1,1,-1,-1,1,NULL,-1,3,0,5,30,
2.022E+11,20,10,2022,19:20:00,5,75,75111,2,1,3,6,RUE RICHARD LENOIR,"488,549,840,000","23,821,120,000",2.022E+11,813 684,A01,1,1,0,1,1,1,5,NULL,2.022E+11,1 099 331,813 684,A01,10,3,4,2,1978,9,0,-1,-1,1,3,1,2.022E+11,4,RUE RICHARD LENOIR,0,NULL,2,2,1,1,-1,-1,1,NULL,-1,3,0,5,30,
2.022E+11,7,8,2022,04:23:00,5,49,49007,2,1,1,7,POISSONNERIE,"474,731,200,000"," -0,5563700000",2.022E+11,813 669,A01,3,1,0,0,0,1,5,NULL,2.022E+11,1 099 310,813 669,A01,1,1,4,2,1992,0,8,0,-1,0,0,-1,2.022E+11,4,POISSONNERIE,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,50,
2.022E+11,9,8,2022,09:27:00,1,45,45234,2,3,1,3,5 Rue Georges Pompidou,"478,868,310,000","19,032,070,000",2.022E+11,813 667,B01,3,1,0,2,1,16,5,NULL,2.022E+11,1 099 308,813 667,B01,1,1,4,2,1990,1,8,0,-1,-1,-1,-1,2.022E+11,4,POMPIDOU (RUE GEORGES),0,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,50,
2.022E+11,9,8,2022,09:27:00,1,45,45234,2,3,1,3,5 Rue Georges Pompidou,"478,868,310,000","19,032,070,000",2.022E+11,813 667,B01,3,1,0,2,1,16,5,NULL,2.022E+11,1 099 309,813 668,A01,1,1,1,1,2000,0,8,0,-1,-1,-1,-1,2.022E+11,4,POMPIDOU (RUE GEORGES),0,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,50,
2.022E+11,9,8,2022,07:40:00,1,45,45302,2,6,1,3,75 Rue des Sables de Sary,"479,473,500,000","18,652,800,000",2.022E+11,813 666,B01,3,1,0,2,7,1,5,NULL,2.022E+11,1 099 306,813 665,A01,1,1,1,1,1971,1,1,0,-1,-1,-1,-1,2.022E+11,4,SABLES DE SARY (RUE DES),0,NULL,1,2,0,1,-1,-1,2,NULL,-1,1,0,1,50,
2.022E+11,9,8,2022,07:40:00,1,45,45302,2,6,1,3,75 Rue des Sables de Sary,"479,473,500,000","18,652,800,000",2.022E+11,813 666,B01,3,1,0,2,7,1,5,NULL,2.022E+11,1 099 307,813 666,B01,1,1,4,2,1971,1,8,0,-1,-1,-1,-1,2.022E+11,4,SABLES DE SARY (RUE DES),0,NULL,1,2,0,1,-1,-1,2,NULL,-1,1,0,1,50,
2.022E+11,8,8,2022,15:10:00,1,17,17300,2,1,1,3,CORDELIERS  AVENUE DES,"461,660,000,000","-11,418,400,000",2.022E+11,813 650,B01,1,1,1,0,2,14,5,NULL,2.022E+11,1 099 282,813 649,A01,2,2,1,2,2001,0,1,0,-1,-1,-1,-1,2.022E+11,4,CORDELIERS  AVENUE DES,0,NULL,2,2,0,2,-1,-1,1,NULL,-1,1,0,1,30,
2.022E+11,8,8,2022,15:10:00,1,17,17300,2,1,1,3,CORDELIERS  AVENUE DES,"461,660,000,000","-11,418,400,000",2.022E+11,813 650,B01,1,1,1,0,2,14,5,NULL,2.022E+11,1 099 283,813 649,A01,1,1,1,2,2002,-1,1,-1,-1,-1,-1,-1,2.022E+11,4,CORDELIERS  AVENUE DES,0,NULL,2,2,0,2,-1,-1,1,NULL,-1,1,0,1,30,
2.022E+11,8,8,2022,15:10:00,1,17,17300,2,1,1,3,CORDELIERS  AVENUE DES,"461,660,000,000","-11,418,400,000",2.022E+11,813 650,B01,1,1,1,0,2,14,5,NULL,2.022E+11,1 099 284,813 650,B01,1,1,4,1,1985,0,8,0,-1,-1,-1,-1,2.022E+11,4,CORDELIERS  AVENUE DES,0,NULL,2,2,0,2,-1,-1,1,NULL,-1,1,0,1,30,
2.022E+11,9,8,2022,02:30:00,5,75,75120,2,2,1,3,RUE DES PYRENEES,"488,591,630,000","24,021,270,000",2.022E+11,813 635,A01,2,1,0,2,7,1,5,NULL,2.022E+11,1 099 267,813 634,B01,1,1,1,1,1993,4,1,8,-1,0,0,-1,2.022E+11,4,RUE DES PYRENEES,0,NULL,2,3,0,2,-1,-1,1,NULL,-1,1,0,1,30,
2.022E+11,9,8,2022,02:30:00,5,75,75120,2,2,1,3,RUE DES PYRENEES,"488,591,630,000","24,021,270,000",2.022E+11,813 635,A01,2,1,0,2,7,1,5,NULL,2.022E+11,1 099 268,813 635,A01,1,1,4,1,1994,5,8,0,-1,0,0,-1,2.022E+11,4,RUE DES PYRENEES,0,NULL,2,3,0,2,-1,-1,1,NULL,-1,1,0,1,30,
2.022E+11,9,8,2022,19:40:00,1,92,92064,2,3,1,7,REPUBLIQUE,"488,442,803,244","22,075,653,076",2.022E+11,813 602,A01,1,1,0,0,1,15,5,NULL,2.022E+11,1 099 223,813 602,A01,1,1,4,1,1964,5,2,6,-1,0,0,-1,2.022E+11,3,985,0,NULL,2,-1,0,1,0,0,1,NULL,-1,1,0,1,50,
2.022E+11,21,7,2022,10:05:00,1,79,79284,2,1,1,3,10 Rue du Député Disleau,"464,433,600,000"," -0,4476800000",2.022E+11,813 584,B01,3,1,12,2,6,14,5,NULL,2.022E+11,1 099 201,813 583,A01,1,1,1,1,1979,3,1,-1,-1,0,0,-1,2.022E+11,4,NULL,0, -,2,2,0,1,-1,-1,1,NULL,5,1,0,1,50,
2.022E+11,21,7,2022,10:05:00,1,79,79284,2,1,1,3,10 Rue du Député Disleau,"464,433,600,000"," -0,4476800000",2.022E+11,813 584,B01,3,1,12,2,6,14,5,NULL,2.022E+11,1 099 202,813 584,B01,1,1,3,1,2008,5,2,-1,-1,0,0,-1,2.022E+11,4,NULL,0, -,2,2,0,1,-1,-1,1,NULL,5,1,0,1,50,
2.022E+11,9,8,2022,08:00:00,1,1,1039,2,1,1,2,route de bourgogne,"458,576,410,000","57,427,700,000",2.022E+11,813 570,B01,1,1,0,0,4,2,5,NULL,2.022E+11,1 099 183,813 569,A01,1,1,1,1,1946,5,8,-1,-1,0,0,-1,2.022E+11,3,904,0,NULL,2,2,0,2,67,700,2,NULL,-1,1,0,1,50,
2.022E+11,9,8,2022,08:00:00,1,1,1039,2,1,1,2,route de bourgogne,"458,576,410,000","57,427,700,000",2.022E+11,813 570,B01,1,1,0,0,4,2,5,NULL,2.022E+11,1 099 184,813 570,B01,1,1,4,1,1959,5,2,-1,-1,0,0,-1,2.022E+11,3,904,0,NULL,2,2,0,2,67,700,2,NULL,-1,1,0,1,50,
2.022E+11,10,8,2022,07:55:00,1,29,29169,1,1,1,3,Route de Guengat,"480,721,510,000","-41,935,530,000",2.022E+11,813 524,B01,1,1,0,2,8,13,5,NULL,2.022E+11,1 099 128,813 523,A01,1,1,1,2,2003,1,1,-1,-1,0,0,-1,2.022E+11,3,56,0,NULL,2,2,0,1,0,609,1,NULL,-1,1,8,1,50,
2.022E+11,10,8,2022,07:55:00,1,29,29169,1,1,1,3,Route de Guengat,"480,721,510,000","-41,935,530,000",2.022E+11,813 524,B01,1,1,0,2,8,13,5,NULL,2.022E+11,1 099 129,813 524,B01,1,1,4,1,2003,1,2,-1,-1,0,0,-1,2.022E+11,3,56,0,NULL,2,2,0,1,0,609,1,NULL,-1,1,8,1,50,
2.022E+11,6,8,2022,18:31:00,1,47,47027,1,1,1,6,RD 236,"444,155,000,000","0,6619000000",2.022E+11,813 398,Y01,3,1,15,0,1,26,5,NULL,2.022E+11,1 098 946,813 398,Y01,1,1,3,1,1949,5,8,-1,-1,0,0,-1,2.022E+11,9,RD 236,0,NULL,2,0,1,1,4,859,1,NULL,-1,1,5,5,10,
2.022E+11,8,8,2022,21:00:00,2,35,35238,2,1,1,3,SALLE (BLD JEAN BAPTISTE DE LA),"481,157,646,679","-17,045,089,602",2.022E+11,813 373,B01,3,1,0,2,8,1,5,NULL,2.022E+11,1 098 908,813 371,A01,1,1,1,1,1966,4,1,-1,-1,-1,-1,-1,2.022E+11,4,SALLE (BLD JEAN BAPTISTE DE LA),0,NULL,3,3,2,1,-1,-1,2,NULL,-1,1,8,5,50,
2.022E+11,8,8,2022,21:00:00,2,35,35238,2,1,1,3,SALLE (BLD JEAN BAPTISTE DE LA),"481,157,646,679","-17,045,089,602",2.022E+11,813 373,B01,3,1,0,2,8,1,5,NULL,2.022E+11,1 098 910,813 373,B01,1,1,4,1,1993,0,2,-1,-1,-1,-1,-1,2.022E+11,4,SALLE (BLD JEAN BAPTISTE DE LA),0,NULL,3,3,2,1,-1,-1,2,NULL,-1,1,8,5,50,
2.022E+11,4,5,2022,09:20:00,1,69,69388,2,2,1,1,Rue Florent,"457,274,300,000","48,785,000,000",2.022E+11,813 356,B01,1,1,0,2,7,19,5,NULL,2.022E+11,1 098 885,813 354,A01,1,1,1,1,1957,0,1,-1,-1,-1,-1,-1,2.022E+11,4,FLORENT                             (R ),0,NULL,1,1,0,1,-1,-1,1,NULL,-1,1,0,1,50,
2.022E+11,4,5,2022,09:20:00,1,69,69388,2,2,1,1,Rue Florent,"457,274,300,000","48,785,000,000",2.022E+11,813 356,B01,1,1,0,2,7,19,5,NULL,2.022E+11,1 098 887,813 356,B01,1,1,4,1,2012,0,2,-1,-1,-1,-1,-1,2.022E+11,4,FLORENT                             (R ),0,NULL,1,1,0,1,-1,-1,1,NULL,-1,1,0,1,50,
