RESEAU;STATUT;created_user;created_date;last_edited_user;last_edited_date;st_length(shape);geo_shape;geo_point_2d
vélopolitain;existant;;;;;964.5348006458051;"{""coordinates"": [[2.3684440005580543, 48.852855999775116], [2.3686160003939905, 48.853230000306866], [2.3687019994828007, 48.85342800040054], [2.368947999774285, 48.85354100028313], [2.3691840005961087, 48.85356900043009], [2.3693990002602074, 48.85350600001416], [2.369635000035615, 48.8533569995757], [2.3696890003318516, 48.8532299996272], [2.369688999652142, 48.85308900006307], [2.3694850004300947, 48.85270800006388], [2.369484999568654, 48.85254599964134], [2.3690989997821275, 48.85082299971571], [2.3667809993631206, 48.846305000006076]], ""type"": ""LineString""}";48.85040299837231, 2.36852591842352
vélopolitain;à réaliser;;;;;1809.0158158262907;"{""coordinates"": [[2.2770880001158096, 48.84599399976722], [2.2956279993730986, 48.847010999852294], [2.301507000613666, 48.847943000434284]], ""type"": ""LineString""}";48.84673906444346, 2.2893219145372323
vélopolitain;à réaliser;;;;;930.0361046660997;"{""coordinates"": [[2.3684549999834954, 48.8528279998263], [2.3568680004634976, 48.84943900038499]], ""type"": ""LineString""}";48.85113350010565, 2.3626615002234965
vélopolitain;à réaliser;;;;;924.0780021158387;"{""coordinates"": [[2.355012000619443, 48.82093000044418], [2.3556979996079943, 48.820710999731844], [2.357189999707938, 48.81953099988445], [2.358220000474839, 48.8191070001315], [2.359334999795299, 48.818994000413795], [2.362178999493439, 48.81929800028687], [2.3659979997778917, 48.820563000367066]], ""type"": ""LineString""}";48.81968281139166, 2.3603899307132505
vélopolitain;à réaliser;;;;;333.49160563000464;"{""coordinates"": [[2.295907000333505, 48.87508899966664], [2.2979020000743127, 48.87778399994272]], ""type"": ""LineString""}";48.87643649980468, 2.296904500203909
secondaire;à réaliser;;;;;2472.052471772764;"{""coordinates"": [[2.3996539999539492, 48.88588399960128], [2.3936029999591857, 48.88633499990348], [2.388538999779258, 48.88599699981154], [2.3830460000837634, 48.88495300011714], [2.3790550006268396, 48.88455699981651], [2.3737759998757997, 48.88184800008979], [2.373089999950497, 48.88114299985344], [2.370643999469025, 48.878404999613764]], ""type"": ""LineString""}";48.88439437125341, 2.384343544092458
secondaire;à réaliser;;;;;735.534642124072;"{""coordinates"": [[2.2790189995721684, 48.87704999973815], [2.2797919994464033, 48.8779250002616], [2.2811010005862826, 48.878489999860065], [2.2821090004388767, 48.87947800022939], [2.284298000533905, 48.8810440001309], [2.285606999609193, 48.881946999956924]], ""type"": ""LineString""}";48.87953630146363, 2.282257386199865
vélopolitain;existant;;;;;2277.5754367757345;"{""coordinates"": [[2.3105619996358397, 48.845033999754136], [2.3099609999291153, 48.84537300013125], [2.292581000091515, 48.85062499973956], [2.288674999690832, 48.854494000226104], [2.2864439996235024, 48.856752999719]], ""type"": ""LineString""}";48.849719680320014, 2.297788196851606
vélopolitain;à réaliser;;;;;762.1339787797367;"{""coordinates"": [[2.3645930001815976, 48.820173999916086], [2.3597859994543384, 48.82624899963911]], ""type"": ""LineString""}";48.8232114997776, 2.362189499817968
secondaire;existant;;;;;379.4173214650717;"{""coordinates"": [[2.4644349997820414, 48.82708199998962], [2.464864000234616, 48.825089999597076], [2.4651860001999233, 48.8237059995684]], ""type"": ""LineString""}";48.82539249285923, 2.4648037725001357
secondaire;existant;;;;;967.6827215262431;"{""coordinates"": [[2.410361999545137, 48.87342999980659], [2.4130440006738563, 48.87412899962605], [2.412400000267834, 48.876387000175015], [2.410650999491582, 48.878432999599355], [2.409868000205061, 48.87944199958633], [2.4084089994736337, 48.879781000213995]], ""type"": ""LineString""}";48.87647796722247, 2.411346881639262
secondaire;existant;;;;;419.24496902806027;"{""coordinates"": [[2.3708579993437193, 48.84915699959269], [2.3726179998424297, 48.84556999984837]], ""type"": ""LineString""}";48.84736349972053, 2.3717379995930745
secondaire;existant;;;;;233.5522630976262;"{""coordinates"": [[2.3940320004216202, 48.886476000337495], [2.394789000588164, 48.887375999582446], [2.3953950000638007, 48.88809200033762], [2.3957060005235813, 48.88823700039294]], ""type"": ""LineString""}";48.88740740440533, 2.394829858626751
secondaire;à réaliser;;;;;1787.993646869746;"{""coordinates"": [[2.386630000172293, 48.8418839999007], [2.385836000502453, 48.84278799966585], [2.384570000121026, 48.843875999776344], [2.384225999737391, 48.844229000416135], [2.383195999531263, 48.844779000316386], [2.3818659997192198, 48.8450050001974], [2.3812220001174276, 48.84520300034334], [2.379978000099336, 48.84582400004205], [2.3784970001526906, 48.846770000053795], [2.377102000160784, 48.84763200013759], [2.3750420002068475, 48.84886000022818], [2.37244599999942, 48.851232000313786], [2.3709229995928807, 48.852362000191384], [2.3703319994941072, 48.85298999965859], [2.370182000039075, 48.85330800001566]], ""type"": ""LineString""}";48.847326857649286, 2.378248713856722
secondaire;à réaliser;;;;;892.811786060104;"{""coordinates"": [[2.318308000026451, 48.837350999750726], [2.3218060004720873, 48.84009099958395], [2.3215059999802587, 48.84107999971939], [2.3241019996153565, 48.843254000362386], [2.323972999479935, 48.84391799975843]], ""type"": ""LineString""}";48.84049115162825, 2.3214875539910063
secondaire;à réaliser;;;;;4371.038269018791;"{""coordinates"": [[[2.4062419996017943, 48.84744799965499], [2.4064559998682014, 48.84815399991386], [2.4065739997616418, 48.84896600023816], [2.4061349994802597, 48.8526799997606], [2.4053410002896434, 48.8553899995561], [2.4049219993557105, 48.8562380000995], [2.404353999940844, 48.857133999780956], [2.4036780002156797, 48.85785400019559], [2.4021429993512444, 48.85910299964639], [2.400480999983238, 48.86084700013709], [2.400180000386298, 48.86174999982001], [2.399933000302095, 48.86278099966544], [2.3996110006364355, 48.86350100021794], [2.398485000441199, 48.86487000032598], [2.397068999401974, 48.86667000027844], [2.394589999673111, 48.869923000132324], [2.389580000240558, 48.87369200032408], [2.3860819993240283, 48.87390299997551], [2.3846130004110755, 48.8740439999991], [2.383088999458752, 48.874516999759884], [2.3820159999812964, 48.875505000227704], [2.3814480002844465, 48.87589999986773], [2.381017999587135, 48.87604799996684], [2.3802779997275594, 48.87618999994275], [2.3797199994155718, 48.87629500017682]], [[2.3736259994870594, 48.88109999983697], [2.3703220003638097, 48.882468999749456]]], ""type"": ""MultiLineString""}";48.8660504044743, 2.3943717976184042
secondaire;à réaliser;;;;;1300.9708737528358;"{""coordinates"": [[2.2807150005225503, 48.881720999572536], [2.2883530002321013, 48.87998600028956], [2.2974940006807434, 48.877924999723845]], ""type"": ""LineString""}";48.87981966290361, 2.289103745461247
vélopolitain;existant;;;;;604.7130481329688;"{""coordinates"": [[2.35609500039158, 48.830881999663816], [2.356910999488979, 48.8309949999618], [2.3634869994549828, 48.83324100017202]], ""type"": ""LineString""}";48.83199299228819, 2.3598072838364765
secondaire;à réaliser;;;;;2497.988998368575;"{""coordinates"": [[2.3253249998540158, 48.85635799981871], [2.3296169996008826, 48.84203999992048], [2.3324699994774067, 48.834399000355525]], ""type"": ""LineString""}";48.845322929854404, 2.3287321919254453
vélopolitain;existant;;;;;840.6562884715179;"{""coordinates"": [[2.26751799942552, 48.862992999548425], [2.26764700014958, 48.8632039996109], [2.2674320006385176, 48.86343000000727], [2.2672820006656953, 48.86364200019744], [2.2688909993233897, 48.865618000323344], [2.2709730000670296, 48.86824400009002], [2.2718949996508075, 48.86931599962506], [2.272034999673786, 48.869463999929756], [2.2721740005707067, 48.8696620004466]], ""type"": ""LineString""}";48.86634016306133, 2.2695082026499174
vélopolitain;à réaliser;;;;;513.1962394909677;"{""coordinates"": [[2.307085999499099, 48.82730800018349], [2.3004449996302756, 48.82874899994629]], ""type"": ""LineString""}";48.82802850006489, 2.3037654995646872
vélopolitain;à réaliser;;;;;136.30635673871862;"{""coordinates"": [[2.332991000142388, 48.82157799980735], [2.3347559998445617, 48.82119799976313]], ""type"": ""LineString""}";48.821387999785244, 2.333873499993475
secondaire;existant;;;;;420.97671278105355;"{""coordinates"": [[2.292301999459753, 48.83088199972557], [2.2923230001709234, 48.82709599985824]], ""type"": ""LineString""}";48.8289889997919, 2.2923124998153384
secondaire;existant;;;;;1156.688583327528;"{""coordinates"": [[2.4106839999496033, 48.834074000426924], [2.4116489998718547, 48.834576000413016], [2.4121320002997355, 48.83504899956495], [2.412367999786983, 48.8354730001568], [2.4135380001037268, 48.83866500026914], [2.4138059997484294, 48.8398369996216], [2.414503000146402, 48.843910999731236]], ""type"": ""LineString""}";48.83862539313365, 2.41321043820351
secondaire;existant;;;;;2913.9714236011787;"{""coordinates"": [[2.3257109993331815, 48.874184999602804], [2.3328350003052214, 48.874241999843264], [2.337812999408149, 48.87414299975001], [2.3478559993150125, 48.87403000030772], [2.3504520000363387, 48.873819000221275], [2.3519109997757366, 48.873606999676134], [2.3543789997587043, 48.87283099956629], [2.3572540005102045, 48.8717300002826], [2.3629400002976544, 48.868595999798025]], ""type"": ""LineString""}";48.87323151608868, 2.3447486741390335
secondaire;à réaliser;;;;;105.49998874231298;"{""coordinates"": [[2.3947830000655324, 48.87609800022839], [2.3952559996027585, 48.87520199955781]], ""type"": ""LineString""}";48.8756499998931, 2.395019499834145
secondaire;à réaliser;;;;;1214.4199606313136;"{""coordinates"": [[2.266338000027204, 48.848945000020386], [2.2694280000596105, 48.85474800019307], [2.2702859993399582, 48.85560899964779], [2.2743839996451793, 48.85819300026381]], ""type"": ""LineString""}";48.854105173847444, 2.269780001531197
secondaire;à réaliser;;;;;965.7675695050973;"{""coordinates"": [[2.3493470005600052, 48.87924500005652], [2.3491000000675184, 48.87745999969927], [2.3489709999605575, 48.877121000009055], [2.3484350003673744, 48.87613299970414], [2.348242000191957, 48.87556899986896], [2.347898000629888, 48.87408699979542], [2.3478130000932516, 48.870671000078794]], ""type"": ""LineString""}";48.874998903561995, 2.3483609820529048
secondaire;à réaliser;;;;;152.91466395136524;"{""coordinates"": [[2.329509000540993, 48.85954800033588], [2.330282000637345, 48.86064900036681], [2.330216999478003, 48.86080500025625]], ""type"": ""LineString""}";48.86016864453752, 2.329935008952255
vélopolitain;existant;;;;;1662.8170766536075;"{""coordinates"": [[2.238249999904637, 48.86225899992906], [2.239966000458437, 48.86124200031672], [2.2419400003879937, 48.859942999867734], [2.24348499971119, 48.859152999643655], [2.2450729993350773, 48.85844699984192], [2.247648000503734, 48.85799500000449], [2.24923600049446, 48.85791100025198], [2.2509529994556297, 48.85788200044476], [2.253871000102396, 48.85807999979375], [2.256617999383877, 48.858419000395465], [2.2577759993438695, 48.85839100016268], [2.258613000144195, 48.85837599991983]], ""type"": ""LineString""}";48.85890642380297, 2.248099100049255
vélopolitain;à réaliser;;;;;1307.8224663205233;"{""coordinates"": [[2.2757579998899926, 48.8716590002251], [2.2927089995760004, 48.87352200039924], [2.292708999745975, 48.873549999652816], [2.293310000521825, 48.87352200035588]], ""type"": ""LineString""}";48.87262416796284, 2.284545522497681
vélopolitain;à réaliser;;;;;237.99944771149512;"{""coordinates"": [[2.2742769998317125, 48.87127800000988], [2.2733330003928414, 48.87060099993296], [2.272164000530754, 48.86965500026487]], ""type"": ""LineString""}";48.87048166576465, 2.2732089412639445
vélopolitain;à réaliser;;;;;200.2212288216753;"{""coordinates"": [[2.3686050004196297, 48.88423299995972], [2.3692920005231413, 48.883583999739265], [2.369742000666698, 48.883146000112156], [2.3702789999378764, 48.88282200006749]], ""type"": ""LineString""}";48.88348984989065, 2.3694134801734243
vélopolitain;à réaliser;;;;;1616.5961451698681;"{""coordinates"": [[2.387252000471161, 48.862964000017946], [2.39579200011162, 48.86503900037985], [2.398366999934393, 48.86495500011533], [2.408710000561289, 48.8646020002889]], ""type"": ""LineString""}";48.86448994238115, 2.3979085747614346
vélopolitain;existant;;;;;182.21565417648102;"{""coordinates"": [[2.387960000079825, 48.89974499955605], [2.389312000343231, 48.90112000014708]], ""type"": ""LineString""}";48.90043249985156, 2.388636000211528
vélopolitain;existant;;;;;4004.1210078005806;"{""coordinates"": [[2.37057900028708, 48.87762900016977], [2.3769149995565138, 48.8720690001177], [2.3782829996138957, 48.87074899984605], [2.379279999566928, 48.870014999758155], [2.3829930002531095, 48.86716400039334], [2.383388999825066, 48.866479000253356], [2.384537000374782, 48.86538500024456], [2.387272999735745, 48.862971000095605], [2.389472999941902, 48.85848200036916], [2.3922510004355653, 48.85762099984431], [2.394278999523956, 48.856618999969776], [2.398356000242398, 48.85130300018125], [2.3992470005633053, 48.848916999965475], [2.3991180000303567, 48.84811899975587]], ""type"": ""LineString""}";48.86344692413603, 2.385954269646999
vélopolitain;à réaliser;;;;;1051.9906586691218;"{""coordinates"": [[[2.2514890005778727, 48.83872100015145], [2.2561449994040355, 48.83829700032878], [2.256145000140501, 48.83784500015474], [2.2564890001707654, 48.8373929998331], [2.256713999723087, 48.837336999997284], [2.256938999424922, 48.837279999632905], [2.257410999987651, 48.837351000120506], [2.2577980003988913, 48.83761900040212], [2.257840999565405, 48.83795800001179], [2.2576260002952755, 48.83828299978325], [2.2572399997618544, 48.83845300031634], [2.2567680001784494, 48.83848099983766], [2.256381999419617, 48.838423999751534], [2.2562100004912984, 48.83831100039006]], [[2.2550729994265577, 48.83485800039283], [2.2566929996870035, 48.83729100040958]]], ""type"": ""MultiLineString""}";48.83769745880193, 2.2555108344637054
