Title,Publication Year,Image URL,Article Content,Article Description,female_mentions,male_mentions,representation
Le vélo c'est mon dada," et ce qui m’anime c’est la rencontre"" François traverse la France à vélo pour livrer du courrier""",2024,https://france3-regions.francetvinfo.fr/image/FcYDkB5ZRTOG6YL686DzCA21BGE/930x620/regions/2024/04/12/whatsapp-image-2024-04-12-at-14-03-03-66196072d322b768712564.jpeg,"Le vélo c'est son dada ! François Uzureau traverse la France pour distribuer du courrier. Il ne travaille pas à la poste et le joue les facteurs sur ses congés. Pour François, c'est la dimension huma… [+5448 chars]",0,2,male
"Paris-Roubaix 2024 : la tranchée d’Arenberg, ce secteur pavé qui a brisé des dizaines de coureurs",2024,https://img.lemde.fr/2015/04/12/36/0/3682/2455/1440/960/60/0/ill_4614540_d887_763686.jpg,"Les coureurs passent dans la tranchée d'Arenberg, lors de Paris-Roubaix 2015. AFP/FRANCOIS LO PRESTI
La tranchée dArenberg est lendroit au monde où les cyclistes chutent le plus. Ce nest pas un col … [+3015 chars]","En prévision de l’épreuve, qui se tient ce dimanche, le célèbre secteur pavé a été réaménagé avec une chicane pour que le peloton l’aborde moins vite. Car il est le lieu le plus accidentogène du cyclisme, avec ses victimes stars et de nombreux oubliés.",0,1,male
Paracyclisme : la pistarde Marie Patouillet devient double championne du monde,2024,https://www.liberation.fr/resizer/9W1cwlptHYONXWHoOIOCl2pzzLk=/1200x630/filters:format(jpg):quality(70):focal(2367x1160:2377x1170)/cloudfront-eu-central-1.images.arcpublishing.com/liberation/RAPBW5SXRRCT5DBNVSF4TMKYZQ.jpg,"Une course, deux breloques en or autour du cou. Marie Patouillet a frappé un grand coup dimanche 24 mars en devenant double championne du monde de scratch (course avec un départ groupé) et domnium (u… [+2271 chars]","La Française de 35 ans a remporté dimanche 24 mars le scratch et l’omnium lors des mondiaux de para-cyclisme au Brésil. L’équipe de France repart de Rio avec 19 médailles, dont 7 en or.",0,3,male
"Vélo et partenariats : au Rwanda, Kagame parie sur le soft power sportif",2024,https://focus.courrierinternational.com/2024/04/05/0/0/4000/2667/1200/630/60/0/72feb9e_1712329193018-000-34jc6r2.jpg,"Le cyclisme rwandais a traversé des périodes difficiles, raconte Le Soir. Pas plus tard quen 2023, des scandales de corruption ont décapité la fédération rwandaise.
Le Tour du Rwanda, sous la houlet… [+172 chars]","C’est une compétition qui rassemble près de 2 millions de supporteurs, lesquels, sur le bord de la route, applaudissent les cyclistes, rapporte le quotidien belge Le Soir.",0,2,male
Comment l’Europe veut faciliter la pratique du vélo (électrique) grâce à ce texte fondateur,2024,https://images.frandroid.com/wp-content/uploads/2024/04/velo-strategie-europe.jpg,"Voulant transformer le vélo en transport du quotidien, la «Déclaration européenne pour le vélo» livre ses axes de développement basés sur la formation, le stationnement et linfrastructure. Un texte e… [+3688 chars]","Voulant transformer le vélo en transport du quotidien, la « Déclaration européenne pour le vélo » livre ses axes de développement basés sur la formation, le stationnement et l’infrastructure. Un texte en ce sens a été signé.",0,1,male
L’AZ Alkmaar recrute un grand nom du cyclisme comme directeur sportif,2024,https://sofoot.s3.eu-central-1.amazonaws.com/wp-content/uploads/2024/04/03161644/4686028-1400x933.jpg,"Il en connaît un rayon.
LAZ a procédé à un choix atypique pour son futur directeur sportif. Cest Merijn Zeeman, grand architecte des succès de léquipe Visma-Lease a Bike en cyclisme (anciennement no… [+1219 chars]","Il en connaît un rayon. L’AZ a procédé à un choix atypique pour son futur directeur sportif. C’est Merijn Zeeman, grand…",0,2,male
L'unique favori,2024,https://imgresizer.eurosport.com/unsafe/2560x1440/filters:format(jpeg)/origin-imgresizer.eurosport.com/2024/03/29/3939890-80011508-2560-1440.jpg,"Van der Poel, rieur : Je n'aime pas vraiment rouler sur les pavés""""",Le monde du cyclisme se divise en deux catégories,0,0,equal
"Ludivine Henrion nous livre ses conseils pour suivre la Flèche wallonne : C’est la maison""""",2024,https://www.lalibre.be/resizer/v2/V6KREWHVZJBHPHB3NIGWTRNBYA.jpg?auth=28c29a3d087eaeb8aaae85fc0f11f2de9e1b75978139a2b9bc7336f9792acb32&width=1200&height=630&quality=85&focal=572%2C464&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2F3R4IDPARFVEO3L2LC5OCCXQ5RM.png%3A100%3A0%2C557,"Le cyclisme, une histoire familiale
Originaire de Waremme, fille et sur dun papa et de deux frères cyclistes, elle commencera le cyclisme à 8 ans.
Jai eu la chance davoir une famille du milieu"," et… [+6724 chars]""",3,2,female
Pogacar, Vingegaard," Evenepoel ? J'aurais adoré me battre avec eux dans mes meilleures années""""",2024,https://imgresizer.eurosport.com/unsafe/2560x1440/filters:format(jpeg)/origin-imgresizer.eurosport.com/2023/07/14/3743659-76163108-2560-1440.jpg,0,3,male
"La femme qui a lancé une casquette sur Mathieu van der Poel, dont elle se dit fan, réagit",2024,https://www.lalibre.be/resizer/v2/ASZ7HILBVVDTBODOXIVR4EXJUE.jpg?auth=28df9fd5b4999b6081c36ad8eb8ee3a1fa131d08bf063230f4606b3e655a7d1c&width=1200&height=630&quality=85&focal=2534%2C1689&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2F3R4IDPARFVEO3L2LC5OCCXQ5RM.png%3A100%3A0%2C557,"En effet, alors que le coureur néerlandais se trouvait seul en tête, un geste incompréhensible venu dune spectatrice sur le bord de la route a choqué les amateurs de cyclisme du monde entier : celle-… [+3068 chars]","Depuis la seconde victoire de Mathieu van der Poel sur le vélodrome de Paris-Roubaix, une image tourne sans cesse sur les réseaux sociaux : celle d’une femme qui semble jeter délibérément une casquette sur le champion du monde cyclisme. Cette Flamande assure …",5,0,female
