Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,num_veh_y,senc,obs,obsm,choc,manv,motor,catr,voie,v1,v2,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,age
201900000480,24,10,2019,0 days 19:55:00,5,75,75115,2,2,1,6,RUE OLIVIER DE SERRES,"48,8361386","2,2972210",3,4,1,1967.0,5,0,-1,-1,A01,1,0,1,1,1,5,4,RUE OLIVIER DE SERRES,0.0,,1,1,0,2,1,1,0,1,50,child
201900000480,24,10,2019,0 days 19:55:00,5,75,75115,2,2,1,6,RUE OLIVIER DE SERRES,"48,8361386","2,2972210",1,1,1,1996.0,5,8,2,-1,A01,1,0,1,1,1,5,4,RUE OLIVIER DE SERRES,0.0,,1,1,0,2,1,1,0,1,50,adult
201900000498,24,10,2019,0 days 18:25:00,1,92,92064,2,1,1,6,DAILLY,"48,8451000","2,2176000",1,1,1,1972.0,4,8,0,-1,B01,2,1,0,1,2,5,3,907,0.0,,3,3,0,2,1,1,9,1,50,child
201900000498,24,10,2019,0 days 18:25:00,1,92,92064,2,1,1,6,DAILLY,"48,8451000","2,2176000",1,4,2,1993.0,1,8,0,-1,B01,2,1,0,1,2,5,3,907,0.0,,3,3,0,2,1,1,9,1,50,adult
201900000530,25,10,2019,0 days 11:50:00,1,1,01093,1,3,1,1,1 Lotissement Domaine Berthaud,"46,1073500","4,9627720",1,1,2,1939.0,5,1,-1,-1,B01,3,13,0,4,15,5,3,2,0.0,,2,2,0,1,1,1,0,1,80,child
201900000530,25,10,2019,0 days 11:50:00,1,1,01093,1,3,1,1,1 Lotissement Domaine Berthaud,"46,1073500","4,9627720",2,1,2,1948.0,5,1,-1,-1,B01,3,13,0,4,15,5,3,2,0.0,,2,2,0,1,1,1,0,1,80,adult
201900000530,25,10,2019,0 days 11:50:00,1,1,01093,1,3,1,1,1 Lotissement Domaine Berthaud,"46,1073500","4,9627720",1,3,1,2005.0,5,2,-1,-1,B01,3,13,0,4,15,5,3,2,0.0,,2,2,0,1,1,1,0,1,80,adult
201900000603,30,11,2019,0 days 17:10:00,2,51,51660,2,9,1,1,AVENUE DU VAL DES BOIS,"49,3481234","4,2125039",1,2,1,1940.0,9,8,-1,-1,B01,2,0,2,7,19,5,3,20,,,2,2,0,1,1,1,5,1,50,child
201900000603,30,11,2019,0 days 17:10:00,2,51,51660,2,9,1,1,AVENUE DU VAL DES BOIS,"49,3481234","4,2125039",1,1,1,1978.0,5,9,-1,-1,B01,2,0,2,7,19,5,3,20,,,2,2,0,1,1,1,5,1,50,adult
201900000603,30,11,2019,0 days 17:10:00,2,51,51660,2,9,1,1,AVENUE DU VAL DES BOIS,"49,3481234","4,2125039",2,1,1,2009.0,5,8,-1,-1,B01,2,0,2,7,19,5,3,20,,,2,2,0,1,1,1,5,1,50,adult
201900000634,29,11,2019,0 days 20:45:00,4,33,33199,2,1,1,2,161 avenue Maréchal de lattre de tassigny,"44,6365100"," -1,0956600",1,3,1,1943.0,5,0,-1,-1,B01,1,0,0,4,2,6,3,650,,,2,2,0,1,1,1,0,1,50,child
201900000634,29,11,2019,0 days 20:45:00,4,33,33199,2,1,1,2,161 avenue Maréchal de lattre de tassigny,"44,6365100"," -1,0956600",1,1,1,1989.0,5,1,-1,-1,B01,1,0,0,4,2,6,3,650,,,2,2,0,1,1,1,0,1,50,adult
201900000669,27,11,2019,0 days 06:20:00,5,75,75116,2,2,1,3,ALLEE DE LONGCHAMP,"48,8637090","2,2401166",1,1,1,1973.0,1,1,0,-1,B01,1,0,2,8,1,5,4,ALLEE DE LONGCHAMP,0.0,,2,4,0,1,1,2,0,1,50,child
201900000669,27,11,2019,0 days 06:20:00,5,75,75116,2,2,1,3,ALLEE DE LONGCHAMP,"48,8637090","2,2401166",1,4,1,1996.0,1,8,2,-1,B01,1,0,2,8,1,5,4,ALLEE DE LONGCHAMP,0.0,,2,4,0,1,1,2,0,1,50,adult
201900000684,28,11,2019,0 days 08:30:00,1,93,93045,2,2,2,3,JUIN AVENUE DU MARECHAL,"48,8783400","2,4225100",1,1,1,1959.0,4,2,0,-1,Y01,3,0,2,7,1,0,3,20,0.0,,2,2,0,1,1,1,0,1,50,child
201900000684,28,11,2019,0 days 08:30:00,1,93,93045,2,2,2,3,JUIN AVENUE DU MARECHAL,"48,8783400","2,4225100",1,4,1,1992.0,1,8,0,-1,Y01,3,0,2,7,1,0,3,20,0.0,,2,2,0,1,1,1,0,1,50,adult
